Date,Value
2021-05-30,677691093100.0
2021-05-29,645440063775.0
2021-05-28,669664837187.4999
2021-05-27,733394719640.625
2021-05-26,724559236025.0
2021-05-25,707552448750.0
2021-05-24,705117478484.375
2021-05-23,639660483934.375
2021-05-22,713906441600.0
2021-05-21,695610967300.0
2021-05-20,762616959809.375
2021-05-19,729763005609.375
2021-05-18,801592491262.5
2021-05-17,825973336375.0
2021-05-16,854220025768.75
2021-05-15,909356726250.0001
2021-05-14,935291726100.0
2021-05-13,922004890662.5
2021-05-12,965300862093.75
2021-05-11,1064170914340.625
2021-05-10,1037167684718.75
2021-05-09,1079845062187.5
2021-05-08,1102783049500.0
2021-05-07,1079534245893.75
2021-05-06,1052724322000.0001
2021-05-05,1062847420659.375
2021-05-04,1020310026006.25
2021-05-03,1067334429843.7499
2021-05-02,1064062886459.375
2021-05-01,1081655740200.0
2021-04-30,1066187095224.9999
2021-04-29,990445281762.4999
2021-04-28,1018351223906.25
2021-04-27,1033610396412.5
2021-04-26,1002499341803.8368
2021-04-25,923705354700.0
2021-04-24,954556428000.0
2021-04-23,934855321096.875
2021-04-22,969583639893.75
2021-04-21,1050754362156.25
2021-04-20,1046757206312.4999
2021-04-19,1044878435078.125
2021-04-18,1037095455837.5
2021-04-17,1139011148284.0051
2021-04-16,1145924744146.8752
2021-04-15,1185967117396.875
2021-04-14,1168021767581.25
2021-04-13,1177557126850.0
2021-04-12,1119732396750.0002
2021-04-11,1118903250337.5
2021-04-10,1115505392709.375
2021-04-09,1085215664125.0
2021-04-08,1078663248731.2501
2021-04-07,1049541432975.0
2021-04-06,1082317391512.5
2021-04-05,1100764718437.5
2021-04-04,1083771142050.0
2021-04-03,1093494000862.4999
2021-04-02,1104686359237.5
2021-04-01,1100835035481.25
2021-03-31,1112962019248.0903
2021-03-30,1096742447321.875
2021-03-29,1076958402781.25
2021-03-28,1040244974434.375
2021-03-27,1042143976981.2499
2021-03-26,1001607266975.0
2021-03-25,965894943165.625
2021-03-24,1014119780625.0
2021-03-23,1020090883499.9998
2021-03-22,1054012768368.75
2021-03-21,1078128686900.0
2021-03-20,1087995355843.75
2021-03-19,1098501632887.5
2021-03-18,1076555012568.75
2021-03-17,1088992129097.7094
2021-03-16,1050997374000.0
2021-03-15,1054259342500.0
2021-03-14,1122526789453.125
2021-03-13,1135652501593.75
2021-03-12,1062482776468.75
2021-03-11,1060620645656.2499
2021-03-10,1063063831046.8749
2021-03-09,1006521423293.75
2021-03-08,948273046875.0
2021-03-07,934009786718.75
2021-03-06,904961037750.0
2021-03-05,909244400750.0
2021-03-04,897743207812.5
2021-03-03,951946868068.75
2021-03-02,882352476356.25
2021-03-01,902742733583.9884
2021-02-28,849955487906.25
2021-02-27,877587479478.125
2021-02-26,890415846225.0
2021-02-25,924053642203.125
2021-02-24,897907870687.5
2021-02-23,881631726568.75
2021-02-22,1014632936625.0001
2021-02-21,1083311361650.0
2021-02-20,1059473615534.375
2021-02-19,1047973707087.5
2021-02-18,969163199100.0
2021-02-17,977177235234.375
2021-02-16,910890045375.0
2021-02-15,905798594156.25
2021-02-14,910729663200.0
2021-02-13,878041272387.5
2021-02-12,882087346837.5
2021-02-11,890165972484.375
2021-02-10,842760685200.0
2021-02-09,866774336006.25
2021-02-08,805042212984.375
2021-02-07,719405797500.0
2021-02-06,749586087187.5
2021-02-05,704712152612.5
2021-02-04,701756582978.125
2021-02-03,700094482087.5
2021-02-02,659997689659.375
2021-02-01,631799801953.125
2021-01-31,615488400390.6251
2021-01-30,636570743062.5
2021-01-29,633886476937.5
2021-01-28,599740591959.3751
2021-01-27,583752452725.0
2021-01-26,594435815971.875
2021-01-25,602717224050.0
2021-01-24,597366354375.0
2021-01-23,595151548406.25
